,title,imgurl,date,blurp,url,text,category,source
32,AI expert Gary Marcus thinks OpenAI will be the 'most Orwellian company of all time',https://i.insider.com/67031821198738e3a70e9544?width=1200&format=jpeg,07/10/2024,"AI expert Gary Marcus says OpenAI may be forced to ""become a surveillance"" company to make money. ""The mask has come off,"" he told Business Insider.",https://www.businessinsider.com/openai-orwellian-surveillance-gary-marcus-nsa-nakasone-2024-10,"AI skeptics worry the tech could be used to create a surveillance nightmare.Peter Kneffel/DPA
<ul><li>AI expert Gary Marcus says OpenAI may be forced to become a surveillance company to make money.<… [+3613 chars]",artificial intelligence,business insider
33,AI godfather-turned-doomer shares Nobel with neural network pioneer,https://regmedia.co.uk/2024/10/08/hopfield-hinton-nobel-prize.jpg,08/10/2024,"First-ever awarded for contributions to artificial intelligence
If you needed another sign that we've well and truly entered the AI age, here it is: The first Nobel Prize has been awarded for contributions to artificial intelligence. …",https://www.theregister.com/2024/10/08/ai_godfather_wins_nobel_prize/,"If you needed another sign that we've well and truly entered the AI age, here it is: The first Nobel Prize has been awarded for contributions to artificial intelligence. 
AI ""godfather"" Dr. Geoffrey… [+5176 chars]",artificial intelligence,theregister.com
34,Fox News AI Newsletter: 'Setback' for AI safety,https://static.foxnews.com/foxnews.com/content/uploads/2024/06/Newsom.png,02/10/2024,Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,https://www.foxnews.com/tech/fox-news-ai-newsletter-setback-ai-safety,"Welcome to Fox News Artificial Intelligence newsletter with the latest AI technology advancements.
IN TODAYS NEWSLETTER:
- Newsom vetoes bill to establish first-in-nation AI safety regulations in C… [+1776 chars]",artificial intelligence,fox news
35,"Amazon tablets are getting AI tools, like writing assist and automatic website summaries",,02/10/2024,"Did you think Amazon Fire tablets were exempt from generative AI tools? Think again. The company just announced a spate of AI-centric features
 that are rolling out to the just-announced Fire HD 8 refresh and a bunch of older models.
None of these features a…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4613181c-6b1c-4869-8e46-c1e5d57daee3,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",artificial intelligence,yahoo entertainment
36,Daily Deal: The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle,https://www.techdirt.com/wp-content/themes/techdirt/assets/images/td-rect-logo-white.png,04/10/2024,"The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle has 4 beginner-friendly courses to help you become more comfortable with the capabilities of OpenAI and ChatGPT. You’ll learn how to write effective prompts to get the best results, how to cr…",https://www.techdirt.com/2024/10/04/daily-deal-the-complete-chatgpt-artificial-intelligence-openai-training-bundle-3/,"from the good-deals-on-cool-stuff dept
The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle has 4 beginner-friendly courses to help you become more comfortable with the capabilities o… [+427 chars]",artificial intelligence,techdirt
37,Why artificial intelligence and clean energy need each other,"https://wp.technologyreview.com/wp-content/uploads/2024/10/ai-cleanenergy.jpg?resize=1200,600",08/10/2024,We are in the early stages of a geopolitical competition for the future of artificial intelligence. The winners will dominate the global economy in the 21st century. But what’s been too often left out of the conversation is that AI’s huge demand for concentra…,https://www.technologyreview.com/2024/10/08/1105165/why-artificial-intelligence-and-clean-energy-need-each-other/,AIs power density requirements similarly necessitate a new set of electricity infrastructure enhancementslike advanced conductors for transmission lines that can move up to 10 times as much power thr… [+4003 chars],artificial intelligence,mit technology review
38,"Scarlett Johansson, Kylie Jenner and Taylor Swift Top List of Celebrities Used for AI Scams",https://gizmodo.com/app/uploads/2024/10/taylor-swift-mtv-video-music-awards-sept-11-2024.jpg,08/10/2024,"From selling crypto to miracle cures, deepfake celebrity ads are everywhere.",https://gizmodo.com/scarlett-johansson-kylie-jenner-and-taylor-swift-top-list-of-celebrities-used-for-ai-scams-2000509158,"You’re probably seen the ridiculous videos on social media. There’s a celebritymaybe it’s Sydney Sweeney or Tom Hankstalking directly to the camera about some product, but something seems a bit off. … [+4647 chars]",artificial intelligence,gizmodo.com
39,Nobel Prize goes to John Hopfield and Geoffrey Hinton work on machine learning,https://ichef.bbci.co.uk/news/1024/branded_news/e6ec/live/a2e8e740-855d-11ef-822c-a50726bfda2e.jpg,08/10/2024,"The winners share a prize fund worth 11m Swedish kronor (£810,000).",https://www.bbc.co.uk/news/articles/c62r02z75jyo,"American Professor John Hopfield is a professor at Princeton University in the US, and British-Canadian Professor Geoffrey Hinton is a professor at University of Toronto in Canada.
Machine learning … [+1281 chars]",artificial intelligence,bbc news
40,"I Tried AI to Make Custom Wedding Invitations. What Went Right, and Wrong",https://www.cnet.com/a/img/resize/73b9beacc3e8f8dc2c163155753734319320c0a1/hub/2024/06/04/6ec63a3a-02d7-4d2d-8fe9-19c3bcfd7b86/ai-generated-wedding-invites.jpg?auto=webp&fit=crop&height=675&width=1200,02/10/2024,Midjourney can help you create themed wedding invitations on the cheap. Here's how they turned out for me.,https://www.cnet.com/tech/services-and-software/i-tried-ai-to-make-custom-wedding-invitations-what-went-right-and-wrong/,"Weddings are expensive and highly personal events, with the engaged couple often shelling out big bucks to make their fairy tale come true. One of the very first significant costs you'll put your sta… [+4978 chars]",artificial intelligence,cnet
41,AIs are more likely to mislead people if trained on human feedback,https://images.newscientist.com/wp-content/uploads/2024/10/02130819/SEI_223424120.jpg,02/10/2024,"If artificial intelligence chatbots are fine-tuned to improve their responses using human feedback, they can become more likely to give deceptive answers that seem right but aren’t",https://www.newscientist.com/article/2450360-ais-are-more-likely-to-mislead-people-if-trained-on-human-feedback/,"Striving to come up with answers that please humans may make chatbots more likely to pull the wool over our eyes
JuSun/Getty Images
Giving AI chatbots human feedback on their responses seems to mak… [+382 chars]",artificial intelligence,new scientist
